team,county,state,date,case_inc_avg,color
ATL,Fulton,Georgia,2021-02-14,27.2,#E03A3E
BOS,Suffolk,Massachusetts,2021-02-14,29.54,#007A33
CHA,Mecklenburg,North Carolina,2021-02-14,36.28,#1D1160
CHI,Cook,Illinois,2021-02-14,14.73,#CE1141
CLE,Cuyahoga,Ohio,2021-02-14,17.81,#860038
DAL,Dallas,Texas,2021-02-14,38.75,#00538C
DEN,Denver,Colorado,2021-02-14,21.4,#0E2240
DET,Wayne,Michigan,2021-02-14,9.42,#006BB6
GSW,San Francisco,California,2021-02-14,13.94,#006BB6
HOU,Harris,Texas,2021-02-14,26.4,#CE1141
IND,Marion,Indiana,2021-02-14,16.94,#002D62
LAC,Los Angeles,California,2021-02-14,28.51,#ED174C
LAL,Los Angeles,California,2021-02-14,28.51,#552583
MEM,Shelby,Tennessee,2021-02-14,22.15,#6189B9
MIA,Miami-Dade,Florida,2021-02-14,54.88,#98002E
MIL,Milwaukee,Wisconsin,2021-02-14,14.21,#00471b
MIN,Hennepin,Minnesota,2021-02-14,12.82,#0c2340
NO,Orleans,Louisiana,2021-02-14,20.03,#002b5c
OKC,Oklahoma,Oklahoma,2021-02-14,28.42,#007AC1
ORL,Orange,Florida,2021-02-14,31.78,#0057b8
PHI,Philadelphia,Pennsylvania,2021-02-14,23.14,#006BB6
PHX,Maricopa,Arizona,2021-02-14,37.14,#1D1160
POR,Multnomah,Oregon,2021-02-14,8.77,#E03A3E
SAC,Sacramento,California,2021-02-14,17.51,#5A2D81
SAS,Bexar,Texas,2021-02-14,33.25,#000
TOR,Hillsborough,Florida,2021-02-14,28.33,#CE1141
UTA,Salt Lake,Utah,2021-02-14,30.14,#002B5C
WAS,District of Columbia,District of Columbia,2021-02-14,18.21,002B5C
NYK,New York City,New York,2021-02-14,52.53,#006BB6
BKN,New York City,New York,2021-02-14,52.53,#000000
ATL,Fulton,Georgia,2021-02-15,26.36,#E03A3E
BOS,Suffolk,Massachusetts,2021-02-15,30.22,#007A33
CHA,Mecklenburg,North Carolina,2021-02-15,34.24,#1D1160
CHI,Cook,Illinois,2021-02-15,14.58,#CE1141
CLE,Cuyahoga,Ohio,2021-02-15,18.14,#860038
DAL,Dallas,Texas,2021-02-15,33.77,#00538C
DEN,Denver,Colorado,2021-02-15,20.39,#0E2240
DET,Wayne,Michigan,2021-02-15,8.06,#006BB6
GSW,San Francisco,California,2021-02-15,12.49,#006BB6
HOU,Harris,Texas,2021-02-15,28.0,#CE1141
IND,Marion,Indiana,2021-02-15,16.63,#002D62
LAC,Los Angeles,California,2021-02-15,27.4,#ED174C
LAL,Los Angeles,California,2021-02-15,27.4,#552583
MEM,Shelby,Tennessee,2021-02-15,19.65,#6189B9
MIA,Miami-Dade,Florida,2021-02-15,50.39,#98002E
MIL,Milwaukee,Wisconsin,2021-02-15,13.88,#00471b
MIN,Hennepin,Minnesota,2021-02-15,12.62,#0c2340
NO,Orleans,Louisiana,2021-02-15,18.24,#002b5c
OKC,Oklahoma,Oklahoma,2021-02-15,27.69,#007AC1
ORL,Orange,Florida,2021-02-15,29.44,#0057b8
PHI,Philadelphia,Pennsylvania,2021-02-15,14.98,#006BB6
PHX,Maricopa,Arizona,2021-02-15,34.38,#1D1160
POR,Multnomah,Oregon,2021-02-15,7.95,#E03A3E
SAC,Sacramento,California,2021-02-15,18.15,#5A2D81
SAS,Bexar,Texas,2021-02-15,31.53,#000
TOR,Hillsborough,Florida,2021-02-15,28.39,#CE1141
UTA,Salt Lake,Utah,2021-02-15,29.92,#002B5C
WAS,District of Columbia,District of Columbia,2021-02-15,17.84,002B5C
NYK,New York City,New York,2021-02-15,50.08,#006BB6
BKN,New York City,New York,2021-02-15,50.08,#000000
ATL,Fulton,Georgia,2021-02-16,25.08,#E03A3E
BOS,Suffolk,Massachusetts,2021-02-16,29.5,#007A33
CHA,Mecklenburg,North Carolina,2021-02-16,34.0,#1D1160
CHI,Cook,Illinois,2021-02-16,14.05,#CE1141
CLE,Cuyahoga,Ohio,2021-02-16,18.27,#860038
DAL,Dallas,Texas,2021-02-16,31.98,#00538C
DEN,Denver,Colorado,2021-02-16,19.38,#0E2240
DET,Wayne,Michigan,2021-02-16,8.66,#006BB6
GSW,San Francisco,California,2021-02-16,12.65,#006BB6
HOU,Harris,Texas,2021-02-16,26.77,#CE1141
IND,Marion,Indiana,2021-02-16,16.03,#002D62
LAC,Los Angeles,California,2021-02-16,24.6,#ED174C
LAL,Los Angeles,California,2021-02-16,24.6,#552583
MEM,Shelby,Tennessee,2021-02-16,19.65,#6189B9
MIA,Miami-Dade,Florida,2021-02-16,49.76,#98002E
MIL,Milwaukee,Wisconsin,2021-02-16,13.49,#00471b
MIN,Hennepin,Minnesota,2021-02-16,12.3,#0c2340
NO,Orleans,Louisiana,2021-02-16,13.49,#002b5c
OKC,Oklahoma,Oklahoma,2021-02-16,26.08,#007AC1
ORL,Orange,Florida,2021-02-16,29.88,#0057b8
PHI,Philadelphia,Pennsylvania,2021-02-16,16.23,#006BB6
PHX,Maricopa,Arizona,2021-02-16,24.33,#1D1160
POR,Multnomah,Oregon,2021-02-16,9.06,#E03A3E
SAC,Sacramento,California,2021-02-16,17.09,#5A2D81
SAS,Bexar,Texas,2021-02-16,21.67,#000
TOR,Hillsborough,Florida,2021-02-16,27.98,#CE1141
UTA,Salt Lake,Utah,2021-02-16,28.25,#002B5C
WAS,District of Columbia,District of Columbia,2021-02-16,17.53,002B5C
NYK,New York City,New York,2021-02-16,48.2,#006BB6
BKN,New York City,New York,2021-02-16,48.2,#000000
ATL,Fulton,Georgia,2021-02-17,25.38,#E03A3E
BOS,Suffolk,Massachusetts,2021-02-17,27.74,#007A33
CHA,Mecklenburg,North Carolina,2021-02-17,33.07,#1D1160
CHI,Cook,Illinois,2021-02-17,13.07,#CE1141
CLE,Cuyahoga,Ohio,2021-02-17,16.24,#860038
DAL,Dallas,Texas,2021-02-17,27.33,#00538C
DEN,Denver,Colorado,2021-02-17,21.38,#0E2240
DET,Wayne,Michigan,2021-02-17,8.67,#006BB6
GSW,San Francisco,California,2021-02-17,11.58,#006BB6
HOU,Harris,Texas,2021-02-17,28.01,#CE1141
IND,Marion,Indiana,2021-02-17,14.9,#002D62
LAC,Los Angeles,California,2021-02-17,23.24,#ED174C
LAL,Los Angeles,California,2021-02-17,23.24,#552583
MEM,Shelby,Tennessee,2021-02-17,16.02,#6189B9
MIA,Miami-Dade,Florida,2021-02-17,49.14,#98002E
MIL,Milwaukee,Wisconsin,2021-02-17,12.72,#00471b
MIN,Hennepin,Minnesota,2021-02-17,12.44,#0c2340
NO,Orleans,Louisiana,2021-02-17,14.44,#002b5c
OKC,Oklahoma,Oklahoma,2021-02-17,23.83,#007AC1
ORL,Orange,Florida,2021-02-17,29.23,#0057b8
PHI,Philadelphia,Pennsylvania,2021-02-17,18.46,#006BB6
PHX,Maricopa,Arizona,2021-02-17,23.72,#1D1160
POR,Multnomah,Oregon,2021-02-17,7.01,#E03A3E
SAC,Sacramento,California,2021-02-17,17.5,#5A2D81
SAS,Bexar,Texas,2021-02-17,16.84,#000
TOR,Hillsborough,Florida,2021-02-17,29.22,#CE1141
UTA,Salt Lake,Utah,2021-02-17,26.27,#002B5C
WAS,District of Columbia,District of Columbia,2021-02-17,17.16,002B5C
NYK,New York City,New York,2021-02-17,48.38,#006BB6
BKN,New York City,New York,2021-02-17,48.38,#000000
ATL,Fulton,Georgia,2021-02-18,24.35,#E03A3E
BOS,Suffolk,Massachusetts,2021-02-18,26.31,#007A33
CHA,Mecklenburg,North Carolina,2021-02-18,32.15,#1D1160
CHI,Cook,Illinois,2021-02-18,12.11,#CE1141
CLE,Cuyahoga,Ohio,2021-02-18,16.89,#860038
DAL,Dallas,Texas,2021-02-18,23.2,#00538C
DEN,Denver,Colorado,2021-02-18,15.16,#0E2240
DET,Wayne,Michigan,2021-02-18,8.63,#006BB6
GSW,San Francisco,California,2021-02-18,9.85,#006BB6
HOU,Harris,Texas,2021-02-18,23.39,#CE1141
IND,Marion,Indiana,2021-02-18,13.34,#002D62
LAC,Los Angeles,California,2021-02-18,22.33,#ED174C
LAL,Los Angeles,California,2021-02-18,22.33,#552583
MEM,Shelby,Tennessee,2021-02-18,16.66,#6189B9
MIA,Miami-Dade,Florida,2021-02-18,45.11,#98002E
MIL,Milwaukee,Wisconsin,2021-02-18,11.35,#00471b
MIN,Hennepin,Minnesota,2021-02-18,12.45,#0c2340
NO,Orleans,Louisiana,2021-02-18,12.1,#002b5c
OKC,Oklahoma,Oklahoma,2021-02-18,20.56,#007AC1
ORL,Orange,Florida,2021-02-18,27.68,#0057b8
PHI,Philadelphia,Pennsylvania,2021-02-18,18.69,#006BB6
PHX,Maricopa,Arizona,2021-02-18,20.37,#1D1160
POR,Multnomah,Oregon,2021-02-18,6.84,#E03A3E
SAC,Sacramento,California,2021-02-18,16.3,#5A2D81
SAS,Bexar,Texas,2021-02-18,10.24,#000
